rank,address,label,label_name,model_prediction,ponzi_prob,non_ponzi_prob,class_confidence,predicted_correct,selection_score,quality_score,mechanism_score,explain_segments,explain_chars,rationale_keyword_hits,evidence_line_count,statement_count,function_count,code_lines,code_chars,negative_reject_term_hits,metric_signature,source_dataset,source_row,explain_source,createdBlockNumber,timestamp,creator,verified_at,match_id,code_hash,demo_reason
1,0x7c9fe4ee9702c109ad26fd02ca2d1de1ad49157e,1,Ponzi,Ponzi,0.99205011,0.00794985,0.99205011,True,89.642255,120.0,25,8,377,24,8,378,57,555,25835,2,seg=8|kw=24|mech=25|stmt=378|func=57|lines=555|conf=0.99205,datafiles/PonziDataset_20221114.csv + datafiles/PonziDataset_20221114_explain.csv,6453,heuristic_generated_from_source,5270216.0,2018-03-17 07:51:19,0x53cd39080ee226a339362c44128bf272d528c1a7,,,104768a8b3c1c2fd564e5e87c5f1c7b9bae7f4f7ab8e8579ae5470874e3e4d72,correct high-confidence Ponzi prediction with strong transfer/deposit/referral rationale evidence
2,0xb47841728f10f39abad9d799e8f6ba05e30c1b9d,1,Ponzi,Ponzi,0.99205011,0.00794985,0.99205011,True,89.642255,120.0,25,8,377,24,8,375,56,551,25647,2,seg=8|kw=24|mech=25|stmt=375|func=56|lines=551|conf=0.99205,datafiles/PonziDataset_20221114.csv + datafiles/PonziDataset_20221114_explain.csv,6451,heuristic_generated_from_source,5260229.0,2018-03-15 15:12:05,0x3d2084d65cd56583aaf306e38db432a399b34b63,,,cb99bc517bb77acae06e215a68bd682357d9821d33cbc2ba357931a9378636a4,correct high-confidence Ponzi prediction with strong transfer/deposit/referral rationale evidence
3,0x124374f24bff86cf043e31344077ece93bd46b57,1,Ponzi,Ponzi,0.99205011,0.00794985,0.99205011,True,89.642255,120.0,25,8,377,24,8,374,56,550,25558,2,seg=8|kw=24|mech=25|stmt=374|func=56|lines=550|conf=0.99205,datafiles/PonziDataset_20221114.csv + datafiles/PonziDataset_20221114_explain.csv,6450,heuristic_generated_from_source,5248353.0,2018-03-13 14:11:23,0x3d2084d65cd56583aaf306e38db432a399b34b63,,,7128cd6e7ce49d76732036a203c10960b48565e034946f595497d70c58ec001c,correct high-confidence Ponzi prediction with strong transfer/deposit/referral rationale evidence
4,0xaff0a98724f4cc765a7ae35cc9ea36bf531c936d,1,Ponzi,Ponzi,0.99211144,0.00788855,0.99211144,True,89.645015,120.0,24,8,389,23,8,410,44,585,28728,1,seg=8|kw=23|mech=24|stmt=410|func=44|lines=585|conf=0.99211,datafiles/PonziDataset_20221114.csv + datafiles/PonziDataset_20221114_explain.csv,6472,heuristic_generated_from_source,5589775.0,2018-05-10 14:36:00,0x362c0f8f7f37126a1974b9c92ec1434a3b20ebed,,,dcdaa8ab114e3fa6ff22de941385e08eb0abc8538f8c51141894da85ff996e84,correct high-confidence Ponzi prediction with strong transfer/deposit/referral rationale evidence
5,0xd0576c23585324e9050ab92ceb92ab5b527b2856,1,Ponzi,Ponzi,0.99214864,0.00785128,0.99214864,True,89.646689,120.0,24,8,389,23,8,401,44,575,28416,1,seg=8|kw=23|mech=24|stmt=401|func=44|lines=575|conf=0.99215,datafiles/PonziDataset_20221114.csv + datafiles/PonziDataset_20221114_explain.csv,6469,heuristic_generated_from_source,5587315.0,2018-05-10 04:06:40,0x362c0f8f7f37126a1974b9c92ec1434a3b20ebed,,,13bcf479b1e4eaaf6e2dcb87a48c22be97c13c7cf127fa6c2ffa67681180dcd4,correct high-confidence Ponzi prediction with strong transfer/deposit/referral rationale evidence
6,0xc4123b7a155a8a337d7b45155483a81e0d2ebf59,1,Ponzi,Ponzi,0.99214864,0.00785128,0.99214864,True,89.646689,120.0,24,8,381,22,8,408,44,580,28676,1,seg=8|kw=22|mech=24|stmt=408|func=44|lines=580|conf=0.99215,datafiles/PonziDataset_20221114.csv + datafiles/PonziDataset_20221114_explain.csv,6470,heuristic_generated_from_source,5587875.0,2018-05-10 06:32:39,0x362c0f8f7f37126a1974b9c92ec1434a3b20ebed,,,ef367090f21dce2fc9ec606c76dbb5e8cdb5d48a300561caa2482e9a3dec2582,correct high-confidence Ponzi prediction with strong transfer/deposit/referral rationale evidence
7,0x19080df0360ce52b1068d54e1769182d9cc2b218,1,Ponzi,Ponzi,0.99217051,0.00782949,0.99217051,True,89.647673,120.0,24,8,389,23,8,410,44,585,28776,1,seg=8|kw=23|mech=24|stmt=410|func=44|lines=585|conf=0.99217,datafiles/PonziDataset_20221114.csv + datafiles/PonziDataset_20221114_explain.csv,6471,heuristic_generated_from_source,5588121.0,2018-05-10 07:38:03,0x362c0f8f7f37126a1974b9c92ec1434a3b20ebed,,,18947e21278a3f976806b75a18e65102dffddbd99a216151fff148746f185d74,correct high-confidence Ponzi prediction with strong transfer/deposit/referral rationale evidence
8,0x49c2b0b29edfabee21311e7cff3a0c67da9f035e,1,Ponzi,Ponzi,0.99265808,0.00734191,0.99265808,True,89.669614,120.0,25,8,394,23,8,388,44,614,32319,2,seg=8|kw=23|mech=25|stmt=388|func=44|lines=614|conf=0.99266,datafiles/PonziDataset_20221114.csv + datafiles/PonziDataset_20221114_explain.csv,6461,heuristic_generated_from_source,5460632.0,2018-04-18 04:11:13,0xa62dbd05c7336867470dea9460b1583e9098bf19,,,fe4e15c4f389a9723a6dcbff464b1c07f597ed34abe7c791d163756374408cee,correct high-confidence Ponzi prediction with strong transfer/deposit/referral rationale evidence
9,0x4c17c61ce6edd113346d993aed193dda7ae57b9e,1,Ponzi,Ponzi,0.99268615,0.00731379,0.99268615,True,89.670877,120.0,25,8,394,23,8,385,45,567,28691,2,seg=8|kw=23|mech=25|stmt=385|func=45|lines=567|conf=0.99269,datafiles/PonziDataset_20221114.csv + datafiles/PonziDataset_20221114_explain.csv,6462,heuristic_generated_from_source,5461807.0,2018-04-18 09:17:36,0xa62dbd05c7336867470dea9460b1583e9098bf19,,,ea4b282acb38118a3b22d1947ca78920a4479dba6af78bd147c99e4f845a52a8,correct high-confidence Ponzi prediction with strong transfer/deposit/referral rationale evidence
10,0x67f41953b90966257c71f6f271572399dfbfe16d,1,Ponzi,Ponzi,0.99269015,0.00730981,0.99269015,True,89.671057,120.0,24,8,407,23,8,424,49,607,30398,2,seg=8|kw=23|mech=24|stmt=424|func=49|lines=607|conf=0.99269,datafiles/PonziDataset_20221114.csv + datafiles/PonziDataset_20221114_explain.csv,6468,heuristic_generated_from_source,5539685.0,2018-05-01 20:34:12,0x10bd442fd9b7ce255d456e8e608cb674d69a32ce,,,1933b0af6f1a6bb3d2f055fe506a6116f94c19fd85722d9a999c3c2aa63e545a,correct high-confidence Ponzi prediction with strong transfer/deposit/referral rationale evidence
11,0x2D4A174Dd3727286f2B2f704C4F6a49250341D83,0,Non-Ponzi,Non-Ponzi,0.02623099,0.97376901,0.97376901,True,88.357296,84.0,7,0,0,0,0,51,5,142,8643,0,seg=0|kw=0|mech=7|stmt=51|func=5|lines=142|conf=0.97377,sourcify_v2_contracts_mainnet,,not_applicable_negative,,,,2026-04-29T07:51:42Z,28406039.0,70ee83661aec097377ac5cb8b0083d01d269642ee6bceff50140989e5334e634,correct high-confidence non-Ponzi prediction from verified real-contract source with low Ponzi-name leakage
12,0x252073Bd4E91D99cf136C3E61DD7a42321ECEb7B,0,Non-Ponzi,Non-Ponzi,0.02620735,0.97379261,0.97379261,True,88.358594,84.0,7,0,0,0,0,227,5,494,43337,0,seg=0|kw=0|mech=7|stmt=227|func=5|lines=494|conf=0.97379,sourcify_v2_contracts_mainnet,,not_applicable_negative,,,,2026-04-29T07:58:25Z,28406186.0,f25798c7a7c64647dc5435ffb9d2d6857944a366e6c5729b58a7b60f9540f4d6,correct high-confidence non-Ponzi prediction from verified real-contract source with low Ponzi-name leakage
13,0x326b83865CdbeCCc1e24A583f3B32E2303eA2850,0,Non-Ponzi,Non-Ponzi,0.02617628,0.97382373,0.97382373,True,85.960305,72.0,7,0,0,0,0,419,5,1054,83865,0,seg=0|kw=0|mech=7|stmt=419|func=5|lines=1054|conf=0.97382,sourcify_v2_contracts_mainnet,,not_applicable_negative,,,,2026-04-29T08:02:24Z,28406296.0,05380a987eba2aadc6e35da7e9f29195c99b5c876f4ab6153a5c91000ba04dc4,correct high-confidence non-Ponzi prediction from verified real-contract source with low Ponzi-name leakage
14,0x0CE7ac97509d2F916A128e8EA89d0CA277fAE83d,0,Non-Ponzi,Non-Ponzi,0.02616679,0.9738332,0.9738332,True,88.360826,84.0,7,0,0,0,0,57,5,154,9833,0,seg=0|kw=0|mech=7|stmt=57|func=5|lines=154|conf=0.97383,sourcify_v2_contracts_mainnet,,not_applicable_negative,,,,2026-04-29T08:02:16Z,28406286.0,696107fa50bd71b525300bf61f77a405a4c9d3e432f7aab99cb4bcea778efefe,correct high-confidence non-Ponzi prediction from verified real-contract source with low Ponzi-name leakage
